# Solar irradiance dataset from ftp://ftp.ncdc.noaa.gov/pub/data/paleo/climate_forcing/solar_variability/lean2000_irradiance.txt
# citation:
# Lean, J.. 2004.
# Solar Irradiance Reconstruction.
# IGBP PAGES/World Data Center for Paleoclimatology 
# Data Contribution Series # 2004-035.
# NOAA/NGDC Paleoclimatology Program, Boulder CO, USA.v
#
# YEAR       11yrCYCLE  11yrCYCLE+BKGRND
1683.5, 1365.5946, 1363.4349
1684.5, 1365.6045, 1363.4440
1685.5, 1365.5946, 1363.4355
1686.5, 1365.5989, 1363.4395
1687.5, 1365.5953, 1363.4368
1688.5, 1365.5981, 1363.4414
1689.5, 1365.5961, 1363.4427
1690.5, 1365.5946, 1363.4451
1691.5, 1365.5946, 1363.4508
1692.5, 1365.5946, 1363.4561
1693.5, 1365.5946, 1363.4580
1694.5, 1365.5946, 1363.4589
1695.5, 1365.5953, 1363.4592
1696.5, 1365.5946, 1363.4583
1697.5, 1365.5946, 1363.4584
1698.5, 1365.5946, 1363.4590
1699.5, 1365.5946, 1363.4604
1700.5, 1365.5974, 1363.4646
1701.5, 1365.5981, 1363.4701
1702.5, 1365.5989, 1363.4794
1703.5, 1365.6135, 1363.5057
1704.5, 1365.6234, 1363.5348
1705.5, 1365.6333, 1363.5662
1706.5, 1365.6171, 1363.5676
1707.5, 1365.6318, 1363.5887
1708.5, 1365.6143, 1363.5829
1709.5, 1365.6058, 1363.5895
1710.5, 1365.5974, 1363.6195
1711.5, 1365.5946, 1363.6660
1712.5, 1365.5946, 1363.6880
1713.5, 1365.5967, 1363.7062
1714.5, 1365.6010, 1363.7542
1715.5, 1365.6199, 1363.8035
1716.5, 1365.6586, 1363.8470
1717.5, 1365.7177, 1363.9092
1718.5, 1365.6578, 1363.8533
1719.5, 1365.8329, 1364.0181
1720.5, 1365.7590, 1364.0065
1721.5, 1365.7450, 1364.0525
1722.5, 1365.6719, 1364.0018
1723.5, 1365.6255, 1363.9894
1724.5, 1365.7042, 1364.0889
1725.5, 1365.6846, 1364.1024
1726.5, 1365.8490, 1364.2875
1727.5, 1365.8512, 1364.3013
1728.5, 1366.0459, 1364.4821
1729.5, 1365.7633, 1364.2246
1730.5, 1366.0845, 1364.5144
1731.5, 1365.5946, 1364.0631
1732.5, 1365.7211, 1364.1947
1733.5, 1365.5946, 1364.1271
1734.5, 1365.5946, 1364.1650
1735.5, 1365.7233, 1364.2986
1736.5, 1365.9362, 1364.5007
1737.5, 1365.7633, 1364.3536
1738.5, 1365.7141, 1364.3174
1739.5, 1365.9636, 1364.5409
1740.5, 1365.6599, 1364.2571
1741.5, 1366.0001, 1364.5580
1742.5, 1365.7078, 1364.2888
1743.5, 1365.6530, 1364.2339
1744.5, 1365.5946, 1364.1841
1745.5, 1365.5946, 1364.1941
1746.5, 1365.5946, 1364.2157
1747.5, 1365.5946, 1364.2460
1748.5, 1366.0233, 1364.6582
1749.5, 1366.0388, 1364.6912
1750.5, 1366.0023, 1364.6550
1751.5, 1365.8314, 1364.4856
1752.5, 1365.7985, 1364.4713
1753.5, 1365.7626, 1364.5011
1754.5, 1365.6565, 1364.4661
1755.5, 1365.6277, 1364.4956
1756.5, 1365.6459, 1364.5505
1757.5, 1365.7689, 1364.6743
1758.5, 1365.8806, 1364.7921
1759.5, 1365.9425, 1364.8596
1760.5, 1365.9144, 1364.8436
1761.5, 1366.0760, 1365.0159
1762.5, 1365.9193, 1364.9268
1763.5, 1365.8350, 1364.8948
1764.5, 1365.8090, 1364.8768
1765.5, 1365.6537, 1364.7380
1766.5, 1365.6206, 1364.7140
1767.5, 1365.8329, 1364.9026
1768.5, 1366.0957, 1365.1284
1769.5, 1366.2869, 1365.2963
1770.5, 1366.2806, 1365.3224
1771.5, 1366.1527, 1365.2742
1772.5, 1366.0599, 1365.2576
1773.5, 1365.8224, 1365.0886
1774.5, 1365.7760, 1365.0730
1775.5, 1365.6339, 1364.9504
1776.5, 1365.6937, 1364.9908
1777.5, 1365.8638, 1365.1300
1778.5, 1366.1007, 1365.3407
1779.5, 1366.1625, 1365.3878
1780.5, 1365.9812, 1365.2184
1781.5, 1366.0944, 1365.3258
1782.5, 1365.8258, 1365.0697
1783.5, 1365.7429, 1364.9484
1784.5, 1365.6283, 1364.7700
1785.5, 1365.7070, 1364.7765
1786.5, 1366.0396, 1365.0347
1787.5, 1366.2216, 1365.1556
1788.5, 1366.1744, 1365.0844
1789.5, 1366.1548, 1365.0612
1790.5, 1366.0521, 1364.9716
1791.5, 1365.8982, 1364.8311
1792.5, 1365.8898, 1364.8021
1793.5, 1365.8828, 1364.7446
1794.5, 1365.8069, 1364.6022
1795.5, 1365.7050, 1364.4440
1796.5, 1365.6909, 1364.3721
1797.5, 1365.6487, 1364.2897
1798.5, 1365.6277, 1364.2538
1799.5, 1365.6339, 1364.2601
1800.5, 1365.6719, 1364.3076
1801.5, 1365.9537, 1364.5537
1802.5, 1365.8428, 1364.4031
1803.5, 1365.7246, 1364.2324
1804.5, 1365.7465, 1364.1881
1805.5, 1365.7745, 1364.1506
1806.5, 1365.6881, 1364.0232
1807.5, 1365.6298, 1363.9309
1808.5, 1365.6193, 1363.8656
1809.5, 1365.6030, 1363.8068
1810.5, 1365.5946, 1363.7976
1811.5, 1365.5967, 1363.8395
1812.5, 1365.6227, 1363.9207
1813.5, 1365.6586, 1364.0035
1814.5, 1365.6677, 1364.0667
1815.5, 1365.7126, 1364.1497
1816.5, 1365.8110, 1364.2391
1817.5, 1365.7914, 1364.1935
1818.5, 1365.7471, 1364.1351
1819.5, 1365.7295, 1364.1268
1820.5, 1365.6698, 1364.0815
1821.5, 1365.6249, 1364.1232
1822.5, 1365.6157, 1364.2358
1823.5, 1365.6030, 1364.2893
1824.5, 1365.6305, 1364.3669
1825.5, 1365.6958, 1364.4620
1826.5, 1365.7957, 1364.5746
1827.5, 1365.9066, 1364.6865
1828.5, 1365.9952, 1364.7704
1829.5, 1366.0107, 1364.7952
1830.5, 1366.0465, 1364.8501
1831.5, 1365.8701, 1364.7161
1832.5, 1365.7542, 1364.6519
1833.5, 1365.6403, 1364.6066
1834.5, 1365.6635, 1364.6750
1835.5, 1365.9200, 1364.9484
1836.5, 1366.2988, 1365.3376
1837.5, 1366.3635, 1365.4343
1838.5, 1366.1387, 1365.2535
1839.5, 1366.0521, 1365.1826
1840.5, 1365.9341, 1365.0696
1841.5, 1365.7816, 1364.9200
1842.5, 1365.7267, 1364.8647
1843.5, 1365.6522, 1364.8060
1844.5, 1365.6775, 1364.8508
1845.5, 1365.8041, 1364.9818
1846.5, 1365.9025, 1365.0797
1847.5, 1366.0023, 1365.1847
1848.5, 1366.1976, 1365.3846
1849.5, 1366.1829, 1365.3910
1850.5, 1365.9812, 1365.1982
1851.5, 1366.0029, 1365.1567
1852.5, 1365.9446, 1365.0192
1853.5, 1365.8448, 1364.8820
1854.5, 1365.7162, 1364.7728
1855.5, 1365.6262, 1364.7249
1856.5, 1365.6163, 1364.7605
1857.5, 1365.7169, 1364.8938
1858.5, 1365.9066, 1365.0951
1859.5, 1366.1260, 1365.3092
1860.5, 1366.1963, 1365.3649
1861.5, 1366.0916, 1365.2426
1862.5, 1365.9496, 1365.0697
1863.5, 1365.8821, 1364.9423
1864.5, 1365.8370, 1364.8333
1865.5, 1365.7534, 1364.7239
1866.5, 1365.6909, 1364.6573
1867.5, 1365.6382, 1364.6069
1868.5, 1365.7977, 1364.7668
1869.5, 1366.0325, 1365.0073
1870.5, 1366.2708, 1365.2471
1871.5, 1366.2054, 1365.2012
1872.5, 1366.1576, 1365.1577
1873.5, 1365.9580, 1364.9529
1874.5, 1365.8406, 1364.7947
1875.5, 1365.7035, 1364.6147
1876.5, 1365.6586, 1364.5499
1877.5, 1365.6543, 1364.5630
1878.5, 1365.6135, 1364.5669
1879.5, 1365.6255, 1364.6174
1880.5, 1365.7689, 1364.7728
1881.5, 1365.9124, 1364.9196
1882.5, 1365.9313, 1364.9546
1883.5, 1365.9791, 1364.9996
1884.5, 1365.8812, 1364.9010
1885.5, 1365.7909, 1364.7394
1886.5, 1365.6487, 1364.5116
1887.5, 1365.6234, 1364.4189
1888.5, 1365.5962, 1364.3615
1889.5, 1365.5652, 1364.3398
1890.5, 1365.5912, 1364.3982
1891.5, 1365.8303, 1364.6823
1892.5, 1365.9163, 1364.8152
1893.5, 1366.0458, 1364.9875
1894.5, 1366.1332, 1365.1044
1895.5, 1366.0166, 1364.9883
1896.5, 1365.8434, 1364.7870
1897.5, 1365.7094, 1364.6105
1898.5, 1365.6982, 1364.5564
1899.5, 1365.6534, 1364.4856
1900.5, 1365.6216, 1364.4579
1901.5, 1365.5294, 1364.4176
1902.5, 1365.5165, 1364.4843
1903.5, 1365.7083, 1364.7440
1904.5, 1365.9651, 1365.0502
1905.5, 1365.7684, 1364.8820
1906.5, 1365.9651, 1365.0778
1907.5, 1365.8604, 1364.9320
1908.5, 1365.9426, 1364.9508
1909.5, 1365.8459, 1364.8024
1910.5, 1365.7173, 1364.6566
1911.5, 1365.6285, 1364.5870
1912.5, 1365.5706, 1364.5724
1913.5, 1365.5739, 1364.6243
1914.5, 1365.6302, 1364.7195
1915.5, 1365.9285, 1365.0414
1916.5, 1366.1349, 1365.2614
1917.5, 1366.2821, 1365.4149
1918.5, 1366.2454, 1365.3726
1919.5, 1366.0179, 1365.1373
1920.5, 1365.8523, 1364.9840
1921.5, 1365.7351, 1364.9114
1922.5, 1365.6019, 1364.8347
1923.5, 1365.6211, 1364.9006
1924.5, 1365.6436, 1364.9569
1925.5, 1365.8406, 1365.1799
1926.5, 1365.9348, 1365.2997
1927.5, 1366.1135, 1365.4958
1928.5, 1365.9885, 1365.3811
1929.5, 1365.9429, 1365.3519
1930.5, 1365.9159, 1365.3588
1931.5, 1365.7780, 1365.2800
1932.5, 1365.6583, 1365.2067
1933.5, 1365.5300, 1365.1062
1934.5, 1365.6361, 1365.2339
1935.5, 1365.8500, 1365.4572
1936.5, 1366.2373, 1365.8521
1937.5, 1366.1718, 1365.7859
1938.5, 1366.1079, 1365.7197
1939.5, 1366.0894, 1365.7096
1940.5, 1366.0143, 1365.6804
1941.5, 1365.9130, 1365.6616
1942.5, 1365.7847, 1365.6266
1943.5, 1365.6052, 1365.5270
1944.5, 1365.6224, 1365.5911
1945.5, 1365.8850, 1365.8702
1946.5, 1365.9818, 1365.9720
1947.5, 1366.2190, 1366.2172
1948.5, 1366.3475, 1366.3531
1949.5, 1366.2528, 1366.2626
1950.5, 1366.0098, 1366.0220
1951.5, 1365.7721, 1365.7882
1952.5, 1365.7653, 1365.7739
1953.5, 1365.6313, 1365.6204
1954.5, 1365.6599, 1365.6467
1955.5, 1365.7793, 1365.7719
1956.5, 1366.3097, 1366.3141
1957.5, 1366.6632, 1366.6812
1958.5, 1366.6246, 1366.6552
1959.5, 1366.3717, 1366.4130
1960.5, 1366.2682, 1366.2997
1961.5, 1365.9230, 1365.9115
1962.5, 1365.7656, 1365.7020
1963.5, 1365.7152, 1365.6451
1964.5, 1365.7114, 1365.6605
1965.5, 1365.7378, 1365.7242
1966.5, 1365.9058, 1365.9506
1967.5, 1366.0889, 1366.1831
1968.5, 1366.1295, 1366.2590
1969.5, 1366.2069, 1366.3573
1970.5, 1366.2036, 1366.3480
1971.5, 1365.9354, 1366.0192
1972.5, 1366.0519, 1366.0541
1973.5, 1365.8131, 1365.7612
1974.5, 1365.7448, 1365.6792
1975.5, 1365.5466, 1365.5020
1976.5, 1365.6458, 1365.6442
1977.5, 1365.8248, 1365.8557
1978.5, 1366.2616, 1366.3101
1979.5, 1366.6193, 1366.6769
1980.5, 1366.6323, 1366.6913
1981.5, 1366.6829, 1366.7280
1982.5, 1366.2808, 1366.2999
1983.5, 1366.1989, 1366.2001
1984.5, 1365.8088, 1365.8145
1985.5, 1365.6382, 1365.6506
1986.5, 1365.6345, 1365.6470
1987.5, 1365.7865, 1365.7990
1988.5, 1366.0792, 1366.0918
1989.5, 1366.6445, 1366.6570
1990.5, 1366.5499, 1366.5624
1991.5, 1366.4423, 1366.4547
1992.5, 1366.2987, 1366.3112
1993.5, 1366.0251, 1366.0377
1994.5, 1365.7937, 1365.8063
1995.5, 1365.6962, 1365.7087
1996.5, 1365.6086, 1365.6211
1997.5, 1365.7365, 1365.7489
1998.5, 1366.0986, 1366.1111
1999.5, 1366.3817, 1366.3942
2000.5, 1366.6620, 1366.6744
